"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"665928757916626944","","","2015-11-15 16:26:02 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","I'm at Museum voor Schone Kunsten (MSK) - @mskgent in Gent, Oost-Vlaanderen https://t.co/cZHck09iVB","","","","https://www.swarmapp.com/c/irYtCUAZbvD"
"665515098077810688","665482387355271168","793772","2015-11-14 13:02:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@netlash Most misquoted citation ever...","","","",""
"662579349758021632","","","2015-11-06 10:36:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hi @MattiaViviani for my project I'm looking for the Stand theme. Is there any way I can still purchase a copy somehow? Tnx.","","","",""
"660601033970724865","","","2015-10-31 23:35:34 +0000","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Movies 2015-10 https://t.co/ErsiCwIRM2","","","","http://blog.colpaert.org/2015/10/31/movies-2015-10/"
"660197357452161024","","","2015-10-30 20:51:30 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","I'm at Hotel Floreal in La Roche-en-Ardenne, Région Wallonne https://t.co/JxH819OO4N","","","","https://www.swarmapp.com/c/h5tbHoWkCUJ"
"659630012614709248","","","2015-10-29 07:17:04 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @Pinboard: My modest proposal: your website should not exceed in file size the major works of Russian literature. Anna Karenina, for exa…","653714626857730048","55525953","2015-10-12 23:31:27 +0000",""
"658709944007589889","","","2015-10-26 18:21:03 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @peter_mertens: 'Waarom moeten gezinnen de subsidiefactuur van zonnepaneelkoningen als Fernand Huts betalen?' | #turteltaks @Knack https…","658639297961152514","438317752","2015-10-26 13:40:20 +0000","http://m.knack.be/nieuws/belgie/waarom-moeten-gezinnen-de-subsidiefactuur-van-zonnepaneelkoningen-als-fernand-huts-betalen/article-opinion-620509.html,http://m.knack.be/nieuws/belgie/waarom-moeten-gezinnen-de-subsidiefactuur-van-zonnepaneelkoningen-als-fernand-huts-betalen/article-opinion-620509.html"
"657965371207602177","","","2015-10-24 17:02:23 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","I'm at Pitta Rif in Wetteren, Flemish Region https://t.co/az6A5JYtX9","","","","https://www.swarmapp.com/c/7a9FzHz5ZjL"
"653892707585257472","","2426","2015-10-13 11:19:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@monteiro Think you'll like this Mike: https://t.co/hdb5BQ188L","","","","https://www.facebook.com/events/1686524198249678/"
"652015555554222080","","","2015-10-08 06:59:56 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","#titanic in the modern age http://t.co/lg5IWzrf8b","","","","http://twitter.com/Kcolpaert/status/652015555554222080/photo/1"
"641596710372798465","","","2015-09-09 12:59:10 +0000","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Feeling Negative http://t.co/kpOoiikjgE http://t.co/B82kBZCIXY","","","","http://www.colpaert.org/2015/09/09/feeling-negative/,http://twitter.com/Kcolpaert/status/641596710372798465/photo/1"
"639776436593819649","","","2015-09-04 12:26:03 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Photo: Film stash #filmisnotdead #istillshootfilm http://t.co/CaN9y2gHhf","","","","http://tmblr.co/Z49H_x1tX0UB0"
"638620296979836928","","","2015-09-01 07:51:58 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Photo: Gettin’ ready for first day at the “real” school http://t.co/s9BCONgjMV","","","","http://tmblr.co/Z49H_x1tJ3QTi"
"637159443243864064","","","2015-08-28 07:07:03 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Photo: #antwerp http://t.co/6h9HFM4vHT","","","","http://tmblr.co/Z49H_x1s-wY8K"
"630020209135497216","","","2015-08-08 14:18:17 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Helena (July 2015) - Canon AE-1 / Kodak Portra 400 Running some expired film through a vintage camera is a... http://t.co/cm8C6iOHvL","","","","http://tmblr.co/Z49H_x1rWe-h8"
"620927163844399104","","","2015-07-14 12:05:46 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Photo: Chateau de V by Koen Colpaert http://t.co/gkKGZ1bbde","","","","http://tmblr.co/Z49H_x1pYjh6v"
"620865472280535040","","","2015-07-14 08:00:38 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Photo: Tyne Cot by Katelijn en Koen Via Flickr: Yashica 124 G Mat with Kodak T-Max 400 http://t.co/I9aHZpuZmq","","","","http://tmblr.co/Z49H_x1pYBLWg"
"620292601053323264","","","2015-07-12 18:04:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","All this technology is making us antisocial.... http://t.co/zW94uobOZU","","","","http://twitter.com/Kcolpaert/status/620292601053323264/photo/1"
"619894096010809344","","","2015-07-11 15:40:44 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Foto: Tyne Cot Yashica 124 G Mat with Kodak T-Max 400 http://t.co/42Sc1I4x0k","","","","http://tmblr.co/Z49H_x1pJrBH8"
"619863950319034369","","","2015-07-11 13:40:56 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","FED-3 - Ik heb een absolute zwak voor camera’s uit de voormalige Sovjet-Unie. Waarom ze mij zo aanspreken... http://t.co/MYcXegkvLY","","","","http://tmblr.co/Z49H_x1pJS0xB"
